date,min,max,median,q1,q3,stdev,count
2020-05-08T00:00:00.000Z,0.56,1.92,1.18,1,1.4,0.291,341
2020-05-09T00:00:00.000Z,0.92,3.6,1.58,1.27,2.27,0.674,310
2020-05-10T00:00:00.000Z,1.8,3.29,2.34,2.22,2.54,0.292,242
2020-05-11T00:00:00.000Z,1.34,2.71,1.82,1.62,2.18,0.317,346
2020-05-12T00:00:00.000Z,1.89,492.88,3.51,2.76,11.28,86.869,454
2020-05-13T00:00:00.000Z,1.9,556.03,11.11,5.38,70.91,120.302,372
2020-05-14T00:00:00.000Z,3.05,578.35,15.25,7.06,103.12,123.916,285
2020-05-15T00:00:00.000Z,2.84,64.34,5.22,4.05,6.57,8.32,381
2020-05-16T00:00:00.000Z,2.17,5.82,3.86,2.83,4.44,0.955,231
2020-05-17T00:00:00.000Z,2.04,13.82,6.38,3.1,11.96,4.207,355
2020-05-18T00:00:00.000Z,2.83,13.5,4.03,3.72,4.84,2.141,363
2020-05-19T00:00:00.000Z,2.9,6.39,3.95,3.51,4.44,0.667,396
2020-05-20T00:00:00.000Z,2.96,25.04,4.78,4.4,5.18,2.584,391
2020-05-21T00:00:00.000Z,3.08,12.95,6.89,5.21,9.22,2.125,330
2020-05-22T00:00:00.000Z,5,57.5,9,8.02,9.93,4.95,386
2020-05-23T00:00:00.000Z,5.68,14.3,7.32,6.72,9.24,2.017,329
2020-05-24T00:00:00.000Z,4.97,9.82,6.92,6.47,7.37,0.785,318
2020-05-25T00:00:00.000Z,1.6,9.07,3.92,2.58,5.55,1.81,368
2020-05-26T00:00:00.000Z,3.3,27.58,6.22,4.55,7.07,2.02,358
2020-05-27T00:00:00.000Z,3.5,10,6.54,5.37,7.35,1.347,346
2020-05-28T00:00:00.000Z,4.3,15.48,8.02,5.7,12.82,3.543,372
2020-05-29T00:00:00.000Z,1.27,13.62,4.5,2.7,6.72,2.72,367
2020-05-30T00:00:00.000Z,4.62,13.1,5.55,5.18,7.95,2.06,357
2020-05-31T00:00:00.000Z,3.42,7.37,4.93,4.22,5.78,0.912,310
2020-06-01T00:00:00.000Z,4.62,47.72,6.82,5.59,12.13,10.58,324
2020-06-02T00:00:00.000Z,3.1,26.35,4.78,4.34,5.4,3.617,371
2020-06-03T00:00:00.000Z,2.4,6.65,4.32,3.08,5.05,1.083,319
2020-06-04T00:00:00.000Z,1.62,7.03,2.7,2.27,3.05,0.945,396
2020-06-05T00:00:00.000Z,2.17,93.37,4.57,2.95,11.19,12.396,301
2020-06-06T00:00:00.000Z,2.8,6.85,5.22,4.69,5.56,0.791,292
