date,min,max,median,q1,q3,stdev,count
2023-02-02T00:00:00.000Z,11.2,106,19.1,15.25,45.65,25.162,645
2023-02-03T00:00:00.000Z,5.6,43.5,17.3,13.4,29.25,10.089,648
2023-02-04T00:00:00.000Z,5.6,106.7,11.9,8.9,32.2,13.902,657
2023-02-05T00:00:00.000Z,5.9,43.1,12.6,9.5,15.8,10.235,652
2023-02-06T00:00:00.000Z,6.4,36.4,14,10.5,18,7.476,650
2023-02-07T00:00:00.000Z,9.8,49.8,17.3,16.3,18.8,3.969,633
2023-02-08T00:00:00.000Z,12.4,60.2,20.9,16.6,34,11.373,619
2023-02-09T00:00:00.000Z,12,99.7,20.8,17.1,22.7,7.909,618
2023-02-10T00:00:00.000Z,9.5,31.5,23.3,16.8,26.9,5.647,644
2023-02-11T00:00:00.000Z,8.9,47.7,21.5,13.5,30.9,10.699,624
2023-02-12T00:00:00.000Z,13.1,49.3,21.6,18.3,26.4,9.444,647
2023-02-13T00:00:00.000Z,13,60.4,21.5,18.05,26.2,6.292,621
2023-02-14T00:00:00.000Z,14.9,42.8,26.25,23.6,32.29,5.674,638
2023-02-15T00:00:00.000Z,12.1,75,34.45,27.45,40.1,12.148,656
2023-02-16T00:00:00.000Z,26.8,112.6,37,32.79,47.55,15.188,629
2023-02-17T00:00:00.000Z,12.4,47.4,36.4,21.3,40.4,9.986,638
2023-02-18T00:00:00.000Z,11.9,108.8,40.79,21.6,77.09,29.848,643
2023-02-19T00:00:00.000Z,11.8,66.5,29.1,21.1,39.4,12.204,649
2023-02-20T00:00:00.000Z,14.7,53.4,35.6,31.7,39.1,8.613,609
2023-02-21T00:00:00.000Z,21.8,140.4,41.55,33.2,52.7,23.022,622
2023-02-22T00:00:00.000Z,8.2,145.3,48.4,26,52.3,19.339,641
2023-02-23T00:00:00.000Z,12.7,131.7,44.4,24.9,56.9,22.389,659
2023-02-24T00:00:00.000Z,23.1,120.5,43.5,31.1,49.4,16.045,655
2023-02-25T00:00:00.000Z,34.8,237.7,46.4,41.3,65,20.42,642
2023-02-26T00:00:00.000Z,23.4,65.2,32.85,28.1,39.6,7.554,638
2023-02-27T00:00:00.000Z,13,79.9,34.2,20.4,40.79,11.681,646
2023-02-28T00:00:00.000Z,7.4,84.4,30.5,19.3,42.15,14.553,652
2023-03-01T00:00:00.000Z,15.8,55.9,27.8,24.2,37,9.952,643
2023-03-02T00:00:00.000Z,17.8,60.7,36.95,31.3,42.3,7.911,636
2023-03-03T00:00:00.000Z,29.1,122.1,46.2,37.7,62.4,21.526,635
2023-03-04T00:00:00.000Z,31.5,202.7,46.1,38.4,54.4,15.037,597
2023-03-05T00:00:00.000Z,32.9,137.5,47.5,43.8,50.9,9.478,619
2023-03-06T00:00:00.000Z,30.5,68.1,46.2,35.85,54.1,10.014,624
2023-03-07T00:00:00.000Z,20.6,106.1,36.1,29.6,52.9,22.226,627
2023-03-08T00:00:00.000Z,14.5,96.2,26.05,19.5,61.6,23.071,626
2023-03-09T00:00:00.000Z,14.7,78.6,34,24.5,46.2,13.741,627
2023-03-10T00:00:00.000Z,24.4,107,41.3,30.9,64.09,20.034,662
2023-03-11T00:00:00.000Z,29.5,115.8,36.9,34.1,48.25,15.533,601
2023-03-12T00:00:00.000Z,19.4,66.7,35.75,26.35,48.85,12.589,636
2023-03-13T00:00:00.000Z,25.1,148.9,41.9,30.9,48.4,27.717,635
2023-03-14T00:00:00.000Z,17.1,56.4,30.6,26.2,45.8,10.491,601
2023-03-15T00:00:00.000Z,6.4,43.3,19.2,14,34.25,10.445,624
2023-03-16T00:00:00.000Z,10.1,43.3,19.39,14.9,30.7,10.02,627
2023-03-17T00:00:00.000Z,9.3,50.6,17.39,13.1,39,13.342,638
2023-03-18T00:00:00.000Z,10.4,42.4,17.7,13.75,23.3,6.939,641
2023-03-19T00:00:00.000Z,7.8,38.2,17.45,15.5,21.9,5.393,648
2023-03-20T00:00:00.000Z,7.4,28.4,19,14.6,20.8,4.585,622
2023-03-21T00:00:00.000Z,12,40,23.6,20.95,26.3,5,633
2023-03-22T00:00:00.000Z,8,37.8,24.2,21.9,26.8,5.4,664
2023-03-23T00:00:00.000Z,7.5,55.9,14.8,12.5,19.8,8.268,671
2023-03-24T00:00:00.000Z,5.4,46.9,14.7,7.9,27.65,12.986,625
2023-03-25T00:00:00.000Z,6.2,47.4,14.4,10.8,18.6,9.713,657
2023-03-26T00:00:00.000Z,4.8,63.5,12,7.5,30.6,14.916,659
2023-03-27T00:00:00.000Z,7.2,26,13.6,12.2,15,2.92,639
2023-03-28T00:00:00.000Z,16,33.3,24.5,21.2,26.6,3.833,656
2023-03-29T00:00:00.000Z,12.1,35.4,21,16.8,26.1,5.502,634
2023-03-30T00:00:00.000Z,12.6,37.4,17.8,15.7,25.9,6.124,622
2023-03-31T00:00:00.000Z,17.9,36.5,22.95,21.4,26.8,4.019,634
2023-04-01T00:00:00.000Z,24.2,50.6,30.5,28.4,34,4.735,676
